id	q1.acc.pasture	q2.acc.dam	q3.suck.dam	q4.transp.6m	a.origin	a.categ
R_1jUF3d0Crle6TIS	3	3	3	3	d	rep.calf
R_1r6yo1qxQZVuiOO	1	3	3	2	d	rep.calf
R_W3AKNfpPvb8BGzn	2	3	3	1	d	rep.calf
R_2ZHLhFYQqEx9hoS	3	2	2	3	d	rep.calf
R_3GlEx8W9ySCDRdU	3	1	3	3	d	rep.calf
R_2EgSAOztzsBHzrD	1	3	3	3	d	rep.calf
R_2BboHMYMIvBrldB	2	1	1	3	d	rep.calf
R_3R93J87oMj56oGk	1	3	3	2	d	rep.calf
R_3iVFMG5FpActOmI	2	3	3	1	d	rep.calf
R_3NP3YJgpOD2Aieo	1	3	3	3	d	rep.calf
R_3EsDQMtCoovYb0c	3	3	3	3	d	rep.calf
R_8BaZEtzALcB7tDP	2	3	3	2	d	rep.calf
R_SJcsQO0rhhHesxz	3	3	3	2	d	rep.calf
R_33DrtwdUrnQRDk9	1	3	3	3	d	rep.calf
R_322x7bkZvTtB4RM	2	3	3	3	d	rep.calf
R_2B9AqctUCavJZnr	3	3	3	3	d	rep.calf
R_2AThK0ypdznN22o	1	2	3	2	d	rep.calf
R_5C6RdnjBcMIpB5L	2	3	3	2	d	rep.calf
R_3JgDxLQGZ06U9tk	3	3	3	3	d	rep.calf
R_10GwBf8xQR0cr8h	3	3	3	2	d	rep.calf
R_1g89TflcmEq5dyW	2	2	2	3	d	rep.calf
R_6xRxRoMMEyuM5y1	3	3	3	3	d	rep.calf
R_1CfLlEXlcLwcKCA	1	2	3	4	d	rep.calf
R_urE3aBaJrepGdmF	2	3	3	3	d	rep.calf
R_3D5Dfp9dK7wkK8n	2	3	3	3	d	rep.calf
R_3Dc0ailmijra0bu	2	3	3	3	d	rep.calf
R_30pjztGP5OEKaFS	2	3	3	2	d	rep.calf
R_2TtPSAdmUztT7wL	2	3	3	2	d	rep.calf
R_UJuQ2MPz1AApbY5	1	3	3	3	d	rep.calf
R_0Pw4SJH7Rmy4GAh	3	3	3	2	d	rep.calf
R_af1DrCKPNZbG4Zr	2	3	3	3	d	rep.calf
R_TuBpgV2dDwtQ1Jn	3	3	3	3	d	rep.calf
R_1Lhbp5lsxdTp4Xh	3	3	2	2	d	rep.calf
R_32WTW3i3e1AcfJj	3	3	3	2	d	rep.calf
R_2X4gv5JfatTuCHj	2	3	3	2	d	rep.calf
R_d7ilf18tbKr7ddv	3	3	3	1	d	rep.calf
R_3sh8WYaTYtmA54s	2	2	2	3	d	rep.calf
R_3QVJhduPxthkl0G	3	3	3	3	d	rep.calf
R_2Ym7AwqfCagMAZJ	1	3	3	3	d	rep.calf
R_1LG5JfAQifGKUuO	2	3	3	2	d	rep.calf
R_2vY58O2e0m6LTo0	2	3	3	3	d	rep.calf
R_A0BOXJFQzTAtxYJ	3	3	3	2	d	rep.calf
R_wLsJ0Vj2Wn1hQXL	1	3	3	3	d	rep.calf
R_8uZLC7s7NvLhXdn	2	3	3	2	d	rep.calf
R_SJLpwmKwX4X8slX	2	3	3	2	d	rep.calf
R_1P76UUmKJr8hoPp	NA	NA	NA	NA	d	rep.calf
