id	version	q1.food	q2.water	q3.rest.dis	q4.therm.dis	q5.res.mov	q6.injury	q7.disease	q8.pain	q9.norm.behav	q10.other.behav	q11.neg.affect	q12.pos.affect	confidence	origin	categ																																																				
R_TuBpgV2dDwtQ1Jn	4	2	1	2	1	3	1	3	2	2	3	2	2	1	b	red.m																																																				
R_1Lhbp5lsxdTp4Xh	4	3	6	4	4	3	4	6	5	4	5	5	5	4	b	red.m																																																				
R_32WTW3i3e1AcfJj	4	6	2	5	6	5	5	4	4	2	6	6	6	3	b	red.m																																																				
R_2X4gv5JfatTuCHj	4	1	1	1	3	1	1	1	5	1	1	4	1	5	b	red.m																																																				
R_d7ilf18tbKr7ddv	4	2	2	2	3	1	1	3	7	1	1	2	1	4	b	red.m																																																				
R_3sh8WYaTYtmA54s	4	3	2	2	4	2	2	4	3	2	2	3	2	4	b	red.m																																																				
R_3QVJhduPxthkl0G	4	2	1	2	4	2	2	2	7	2	2	2	2	4	b	red.m																																																				
R_2Ym7AwqfCagMAZJ	4	2	2	2	3	2	2	3	2	2	2	2	2	4	b	red.m																																																				
R_1LG5JfAQifGKUuO	4	1	1	1	3	1	2	2	7	1	1	3	1	4	b	red.m																																																				
R_2vY58O2e0m6LTo0	4	3	2	3	1	3	3	4	1	3	4	3	2	5	b	red.m																																																				
R_A0BOXJFQzTAtxYJ	4	3	1	1	2	2	3	6	5	1	4	4	3	4	b	red.m																																																				
R_wLsJ0Vj2Wn1hQXL	4	3	3	1	2	1	1	2	1	1	1	3	2	4	b	red.m																																																				
R_8uZLC7s7NvLhXdn	4	2	2	2	2	1	2	4	1	1	3	2	2	2	b	red.m																																																				
R_SJLpwmKwX4X8slX	4	4	4	5	4	4	5	5	6	5	5	5	5	3	b	red.m																																																				
R_1P76UUmKJr8hoPp	4	1	1	1	1	1	1	2	7	1	1	2	2	5	b	red.m																																																				
R_p6tUpQ9XjKQ7z5D	1	1	1	1	4	1	3	2	3	1	7	2	1	5	d	red.m																																																				
R_2c24W8xGxA18Ubl	1	4	2	7	2	6	2	2	2	5	6	2	5	3	d	red.m																																																				
R_1DqDnRoTRM1AJgk	1	7	3	3	4	4	2	6	6	3	5	5	4	4	d	red.m																																																				
R_3EtAzFGFTkbOMld	1	3	2	4	4	4	3	5	3	3	4	4	4	4	d	red.m																																																				
R_6f1zX9VCxcmJ26Z	1	4	6	5	2	5	2	1	2	6	5	6	6	5	d	red.m																																																				
R_xyjgLiggbmUUylj	1	7	4	6	3	6	5	4	3	7	7	7	7	4	d	red.m																																																				
R_3mlQnj8I8d8QvCS	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d	red.m																																																				
R_3FP9Uon1haBJ9Pn	1	6	1	4	1	7	3	4	1	3	7	7	5	4	d	red.m																																																				
R_2cw5wplYk1Fay5D	1	3	1	1	2	2	2	3	3	2	2	2	2	4	d	red.m																																																				
R_BA3MJVkrEivQzKN	1	2	2	3	3	4	4	4	4	4	4	4	4	3	d	red.m																																																				
R_9Fwj5KgDsU241Vv	1	5	2	5	6	3	6	7	5	4	4	6	4	3	d	red.m																																																				
R_1Fb7QsWMRzEL1Dz	1	5	3	5	5	6	6	7	5	7	7	7	7	5	d	red.m																																																				
R_3fwtjTkCSATUi7W	1	3	2	2	3	3	2	3	4	3	4	3	3	4	d	red.m																																																				
R_25yJwdqRcy1lLDL	1	1	1	4	2	2	3	4	4	2	4	3	3	4	d	red.m																																																				
R_12J8mTiQQhjADnp	1	2	2	3	3	3	2	3	3	3	3	3	3	4	d	red.m																																																				
R_2eaQZYlGhshonY9	1	2	3	3	3	4	3	5	3	4	3	3	3	5	d	red.m																																																				
R_3EAn1cnHql4bkUM	2	4	3	5	4	6	4	4	4	6	6	4	5	4	d	red.m																																																				
R_DdBOruQbogui7ap	2	3	2	3	2	2	3	4	3	2	2	3	2	2	d	red.m																																																				
R_3qqYZEr2bErmgHU	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	d	red.m																																																				
R_2wB9mquI7hXwnji	2	3	2	4	3	6	4	4	3	4	5	4	4	3	d	red.m																																																				
R_1od4UIhFj0lpD98	2	1	1	1	1	1	1	3	1	1	1	1	1	5	d	red.m																																																				
R_24AvPnmtMsxd2Rs	2	5	6	6	5	6	5	4	5	5	6	6	6	4	d	red.m																																																				
R_3FUxMVDjBaaFl0Q	2	1	2	3	3	4	3	5	5	2	6	4	5	3	d	red.m																																																				
R_10qhdFD6DXfCoAo	2	1	1	1	3	2	3	2	7	2	2	6	5	3	d	red.m																																																				
R_1jUF3d0Crle6TIS	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d	red.m																																																				
