id	version	q1.food	q2.water	q3.rest.dis	q4.therm.dis	q5.res.mov	q6.injury	q7.disease	q8.pain	q9.norm.behav	q10.other.behav	q11.neg.affect	q12.pos.affect	confidence	origin	categ																																																				
R_2ZHLhFYQqEx9hoS	2	3	1	3	3	4	3	3	4	3	4	3	4	5	d	rep.calf																																																				
R_3GlEx8W9ySCDRdU	2	2	1	3	3	3	4	2	4	4	4	4	4	5	d	rep.calf																																																				
R_2EgSAOztzsBHzrD	2	2	2	2	3	3	2	2	3	2	2	2	2	4	d	rep.calf																																																				
R_2BboHMYMIvBrldB	2	3	1	3	3	4	3	4	4	5	6	4	4	4	d	rep.calf																																																				
R_3R93J87oMj56oGk	2	5	4	3	3	4	4	5	7	4	2	3	3	4	d	rep.calf																																																				
R_3iVFMG5FpActOmI	2	4	4	5	4	3	3	5	5	4	4	4	4	4	d	rep.calf																																																				
R_3NP3YJgpOD2Aieo	3	3	1	3	4	3	1	3	4	3	3	4	4	5	d	rep.calf																																																				
R_3EsDQMtCoovYb0c	3	4	5	2	2	5	2	5	3	4	5	5	5	4	d	rep.calf																																																				
R_8BaZEtzALcB7tDP	3	6	4	5	2	6	4	5	7	4	5	3	4	4	d	rep.calf																																																				
R_SJcsQO0rhhHesxz	3	4	2	5	3	4	3	2	4	2	6	4	5	4	d	rep.calf																																																				
R_33DrtwdUrnQRDk9	3	2	1	2	2	2	2	3	2	2	2	2	2	5	d	rep.calf																																																				
R_322x7bkZvTtB4RM	3	4	4	3	3	3	3	4	7	3	5	5	6	5	d	rep.calf																																																				
R_2B9AqctUCavJZnr	3	4	2	3	2	3	4	3	5	3	5	4	4	4	d	rep.calf																																																				
R_2AThK0ypdznN22o	3	3	5	3	3	3	3	2	5	2	2	3	2	4	d	rep.calf																																																				
R_5C6RdnjBcMIpB5L	3	5	1	1	5	3	2	4	5	5	5	5	6	5	d	rep.calf																																																				
R_3JgDxLQGZ06U9tk	3	6	5	6	6	6	4	6	6	6	6	6	6	4	d	rep.calf																																																				
R_10GwBf8xQR0cr8h	3	6	4	5	4	3	4	4	7	1	6	4	6	5	d	rep.calf																																																				
R_1g89TflcmEq5dyW	3	4	4	5	6	5	4	4	6	5	5	5	6	4	d	rep.calf																																																				
R_6xRxRoMMEyuM5y1	3	2	1	3	2	4	3	3	3	4	4	3	4	4	d	rep.calf																																																				
R_1CfLlEXlcLwcKCA	3	2	1	1	1	1	1	1	2	1	1	1	1	3	d	rep.calf																																																				
R_urE3aBaJrepGdmF	3	5	3	3	3	6	3	6	4	6	5	5	5	5	d	rep.calf																																																				
R_3D5Dfp9dK7wkK8n	3	2	2	2	1	3	1	4	3	3	3	2	2	3	d	rep.calf																																																				
R_3Dc0ailmijra0bu	3	2	2	4	2	4	4	3	7	3	5	3	2	5	d	rep.calf																																																				
R_30pjztGP5OEKaFS	3	3	3	6	5	5	6	4	4	3	3	2	3	3	d	rep.calf																																																				
R_2TtPSAdmUztT7wL	3	7	4	3	3	7	4	5	4	7	4	3	4	5	d	rep.calf																																																				
R_UJuQ2MPz1AApbY5	3	3	3	2	1	3	3	2	2	3	2	3	4	4	d	rep.calf																																																				
R_0Pw4SJH7Rmy4GAh	4	7	7	7	6	7	6	7	6	7	6	7	6	5	d	rep.calf																																																				
R_af1DrCKPNZbG4Zr	4	7	2	5	4	5	4	6	7	7	6	3	5	4	d	rep.calf																																																				
R_TuBpgV2dDwtQ1Jn	4	2	3	2	2	5	2	4	7	5	7	4	4	4	d	rep.calf																																																				
R_1Lhbp5lsxdTp4Xh	4	6	4	6	6	6	4	6	6	7	7	7	7	2	d	rep.calf																																																				
R_32WTW3i3e1AcfJj	4	2	1	4	3	3	2	2	4	2	4	3	4	5	d	rep.calf																																																				
R_2X4gv5JfatTuCHj	4	3	1	3	1	6	2	1	3	3	4	3	3	3	d	rep.calf																																																				
R_d7ilf18tbKr7ddv	4	7	5	5	4	6	1	4	7	7	7	5	7	5	d	rep.calf																																																				
R_3sh8WYaTYtmA54s	4	1	2	3	2	3	2	2	3	3	3	2	3	5	d	rep.calf																																																				
R_3QVJhduPxthkl0G	4	4	1	4	4	6	2	4	4	5	7	5	5	5	d	rep.calf																																																				
R_2Ym7AwqfCagMAZJ	4	4	2	2	2	2	2	3	3	2	2	2	2	4	d	rep.calf																																																				
R_1LG5JfAQifGKUuO	4	2	1	1	5	1	2	3	7	2	3	7	3	4	d	rep.calf																																																				
R_2vY58O2e0m6LTo0	4	1	1	1	1	2	1	2	2	1	2	1	1	5	d	rep.calf																																																				
R_A0BOXJFQzTAtxYJ	4	5	1	3	2	3	2	3	6	2	5	3	3	4	d	rep.calf																																																				
R_wLsJ0Vj2Wn1hQXL	4	3	3	2	4	2	3	4	1	2	1	3	2	4	d	rep.calf																																																				
R_8uZLC7s7NvLhXdn	4	2	2	3	2	3	4	3	6	3	4	3	4	4	d	rep.calf																																																				
R_SJLpwmKwX4X8slX	4	4	3	5	4	4	4	5	7	3	3	6	3	3	d	rep.calf																																																				
R_1P76UUmKJr8hoPp	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d	rep.calf																																																				
R_p6tUpQ9XjKQ7z5D	1	1	1	1	5	1	2	2	1	1	1	1	1	5	b	rep.cow																																																				
R_2c24W8xGxA18Ubl	1	2	1	2	2	3	2	1	1	4	3	2	3	4	b	rep.cow																																																				
R_1DqDnRoTRM1AJgk	1	3	2	2	5	1	2	2	2	1	1	2	2	4	b	rep.cow																																																				
R_3EtAzFGFTkbOMld	1	4	2	1	3	1	2	2	2	2	1	2	2	4	b	rep.cow																																																				
R_6f1zX9VCxcmJ26Z	1	3	5	1	4	1	5	4	4	1	2	2	2	5	b	rep.cow																																																				
R_xyjgLiggbmUUylj	1	4	4	2	3	1	1	2	1	1	1	3	2	2	b	rep.cow																																																				
R_3mlQnj8I8d8QvCS	1	2	1	2	2	4	2	2	2	4	3	2	2	4	b	rep.cow																																																				
R_3FP9Uon1haBJ9Pn	1	1	1	1	2	1	1	2	1	1	1	1	1	4	b	rep.cow																																																				
R_2cw5wplYk1Fay5D	1	2	1	1	2	1	2	2	2	1	1	1	1	4	b	rep.cow																																																				
R_BA3MJVkrEivQzKN	1	2	2	2	2	2	2	2	2	2	2	2	2	3	b	rep.cow																																																				
R_9Fwj5KgDsU241Vv	1	3	2	3	4	3	4	4	3	4	3	4	4	3	b	rep.cow																																																				
R_1Fb7QsWMRzEL1Dz	1	5	4	2	4	2	4	3	3	2	2	4	4	5	b	rep.cow																																																				
R_3fwtjTkCSATUi7W	1	3	3	3	3	2	2	1	1	1	1	2	2	5	b	rep.cow																																																				
R_25yJwdqRcy1lLDL	1	5	3	4	4	3	3	3	3	3	2	4	3	4	b	rep.cow																																																				
R_12J8mTiQQhjADnp	1	2	2	2	2	2	2	2	2	2	2	2	2	5	b	rep.cow																																																				
R_2eaQZYlGhshonY9	1	2	2	2	2	2	2	2	2	1	1	1	1	5	b	rep.cow																																																				
R_3EAn1cnHql4bkUM	2	2	3	3	4	2	2	3	3	2	2	3	4	5	b	rep.cow																																																				
R_DdBOruQbogui7ap	2	4	3	1	3	1	2	2	3	1	1	2	1	5	b	rep.cow																																																				
R_3qqYZEr2bErmgHU	2	3	1	1	2	1	2	2	2	1	1	2	1	5	b	rep.cow																																																				
R_2wB9mquI7hXwnji	2	4	1	1	3	1	2	2	2	1	1	1	1	5	b	rep.cow																																																				
R_1od4UIhFj0lpD98	2	1	1	1	1	1	1	1	1	1	1	1	1	5	b	rep.cow																																																				
R_24AvPnmtMsxd2Rs	2	3	5	2	4	2	3	3	3	2	2	2	2	4	b	rep.cow																																																				
R_3FUxMVDjBaaFl0Q	2	1	2	3	2	3	3	4	4	3	3	3	4	4	b	rep.cow																																																				
R_10qhdFD6DXfCoAo	2	2	2	1	3	1	3	2	7	2	2	2	2	4	b	rep.cow																																																				
R_1jUF3d0Crle6TIS	2	3	3	3	4	3	3	3	3	3	3	3	3	4	b	rep.cow																																																				
R_1r6yo1qxQZVuiOO	2	3	4	3	3	3	3	3	4	3	2	4	3	5	b	rep.cow																																																				
R_W3AKNfpPvb8BGzn	2	3	1	1	3	1	7	5	7	1	1	1	1	4	b	rep.cow																																																				
R_2ZHLhFYQqEx9hoS	2	3	1	3	2	4	2	3	2	3	3	3	4	5	b	rep.cow																																																				
R_3GlEx8W9ySCDRdU	2	4	2	2	3	3	2	3	2	2	2	2	3	4	b	rep.cow																																																				
R_2EgSAOztzsBHzrD	2	3	2	1	5	1	3	2	3	1	1	2	2	5	b	rep.cow																																																				
R_2BboHMYMIvBrldB	2	3	2	3	3	3	3	3	3	3	3	3	3	4	b	rep.cow																																																				
R_3R93J87oMj56oGk	2	5	6	6	6	5	3	3	3	3	1	3	3	4	b	rep.cow																																																				
R_3iVFMG5FpActOmI	2	2	2	1	2	1	1	2	1	1	1	1	1	5	b	rep.cow																																																				
R_3NP3YJgpOD2Aieo	3	2	1	1	3	1	1	2	1	1	1	3	1	5	b	rep.cow																																																				
R_3EsDQMtCoovYb0c	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	b	rep.cow																																																				
R_8BaZEtzALcB7tDP	3	5	4	4	5	3	3	3	3	2	4	5	3	4	b	rep.cow																																																				
R_SJcsQO0rhhHesxz	3	2	2	2	4	1	3	3	1	2	1	2	2	5	b	rep.cow																																																				
R_33DrtwdUrnQRDk9	3	1	1	1	1	1	1	1	1	1	1	1	1	5	b	rep.cow																																																				
R_322x7bkZvTtB4RM	3	3	2	2	5	1	4	4	5	1	1	2	2	4	b	rep.cow																																																				
R_2B9AqctUCavJZnr	3	2	2	3	3	2	3	2	3	2	2	2	2	3	b	rep.cow																																																				
R_2AThK0ypdznN22o	3	1	1	1	2	1	2	2	2	1	1	2	1	5	b	rep.cow																																																				
R_5C6RdnjBcMIpB5L	3	2	1	2	5	1	3	4	3	2	1	2	2	2	b	rep.cow																																																				
R_3JgDxLQGZ06U9tk	3	5	4	4	6	4	5	6	5	4	4	4	4	2	b	rep.cow																																																				
R_10GwBf8xQR0cr8h	3	4	2	6	3	1	6	4	5	2	6	4	4	3	b	rep.cow																																																				
R_1g89TflcmEq5dyW	3	5	5	4	5	5	4	5	5	4	4	5	5	3	b	rep.cow																																																				
R_6xRxRoMMEyuM5y1	3	2	2	2	3	2	3	3	1	2	2	2	2	4	b	rep.cow																																																				
R_1CfLlEXlcLwcKCA	3	2	2	1	2	1	2	1	2	1	1	1	1	4	b	rep.cow																																																				
R_urE3aBaJrepGdmF	3	3	3	3	5	3	4	5	3	2	2	4	3	3	b	rep.cow																																																				
R_3D5Dfp9dK7wkK8n	3	1	2	1	1	1	4	3	2	1	1	1	1	3	b	rep.cow																																																				
R_3Dc0ailmijra0bu	3	3	2	2	2	2	2	2	2	2	1	2	2	3	b	rep.cow																																																				
R_30pjztGP5OEKaFS	3	2	3	2	3	2	3.5	3.5	3	3	2	3	3	3	b	rep.cow																																																				
R_2TtPSAdmUztT7wL	3	1	2	2	2	2	3	3	2	1	2	2	1	3	b	rep.cow																																																				
R_UJuQ2MPz1AApbY5	3	4	3	4	1	4	3	3	3	3	2	3	3	3	b	rep.cow																																																				
R_0Pw4SJH7Rmy4GAh	4	7	7	6	6	7	6	6	6	6	7	7	6	4	b	rep.cow																																																				
R_af1DrCKPNZbG4Zr	4	3	2	2	5	1	3	3	5	1	1	5	1	4	b	rep.cow																																																				
R_TuBpgV2dDwtQ1Jn	4	3	1	1	1	2	3	3	5	1	2	1	1	3	b	rep.cow																																																				
R_1Lhbp5lsxdTp4Xh	4	4	5	4	6	3	3	3	3	2	2	2	5	4	b	rep.cow																																																				
R_32WTW3i3e1AcfJj	4	1	2	2	3	1	3	3	2	2	2	2	3	4	b	rep.cow																																																				
R_2X4gv5JfatTuCHj	4	2	1	1	2	1	2	2	2	1	1	2	1	5	b	rep.cow																																																				
R_d7ilf18tbKr7ddv	4	2	4	2	5	1	4	2	3	1	1	3	2	5	b	rep.cow																																																				
R_3sh8WYaTYtmA54s	4	4	3	2	4	2	2	3	2	2	2	3	2	4	b	rep.cow																																																				
R_3QVJhduPxthkl0G	4	2	1	2	4	1	2	2	2	1	1	1	1	3	b	rep.cow																																																				
R_2Ym7AwqfCagMAZJ	4	2	2	2	2	2	2	2	2	2	2	2	2	4	b	rep.cow																																																				
R_1LG5JfAQifGKUuO	4	3	2	1	5	1	1	3	1	1	1	1	1	4	b	rep.cow																																																				
R_2vY58O2e0m6LTo0	4	2	2	1	3	2	2	1	2	2	1	2	1	5	b	rep.cow																																																				
R_A0BOXJFQzTAtxYJ	4	1	1	1	2	1	2	2	3	1	1	7	1	4	b	rep.cow																																																				
R_wLsJ0Vj2Wn1hQXL	4	6	3	1	3	1	1	2	2	1	1	4	2	5	b	rep.cow																																																				
R_8uZLC7s7NvLhXdn	4	3	2	3	2	3	4	3	2	2	2	2	2	1	b	rep.cow																																																				
R_SJLpwmKwX4X8slX	4	3	3	3	2	3	4	4	4	3	3	4	4	2	b	rep.cow																																																				
R_1P76UUmKJr8hoPp	4	3	2	1	1	1	1	2	2	1	1	2	1	5	b	rep.cow																																																				
R_p6tUpQ9XjKQ7z5D	1	1	1	4	3	1	5	2	1	1	5	1	1	5	d	rep.cow																																																				
R_2c24W8xGxA18Ubl	1	1	1	2	2	4	3	3	1	4	3	2	3	5	d	rep.cow																																																				
R_1DqDnRoTRM1AJgk	1	2	2	3	5	3	5	3	2	3	4	3	5	4	d	rep.cow																																																				
R_3EtAzFGFTkbOMld	1	2.5	2	4	4	3.5	5	4	4	3	5	4.5	4.5	4	d	rep.cow																																																				
R_6f1zX9VCxcmJ26Z	1	6	2	2	2	1	3	6	6	2	3	5	5	5	d	rep.cow																																																				
R_xyjgLiggbmUUylj	1	2	4	3	4	3	5	4	3	3	5	3	4	4	d	rep.cow																																																				
R_3mlQnj8I8d8QvCS	1	1	1	2	2	4	2	2	2	4	3	2	2	4	d	rep.cow																																																				
R_3FP9Uon1haBJ9Pn	1	2	1	1	2	4	2	2	1	4	3	4	4	4	d	rep.cow																																																				
R_2cw5wplYk1Fay5D	1	2	1	1	2	1	2	2	2	1	1	2	2	4	d	rep.cow																																																				
R_BA3MJVkrEivQzKN	1	2	2	2	4	4	4	4	2	4	5	5	5	3	d	rep.cow																																																				
R_9Fwj5KgDsU241Vv	1	3	3	6	4	5	6	6	3	5	4	5	4	3	d	rep.cow																																																				
R_1Fb7QsWMRzEL1Dz	1	3	2	5	2	4	6	5	4	3	5	5	5	5	d	rep.cow																																																				
R_3fwtjTkCSATUi7W	1	1	1	3	3	3	4	3	1	2	4	2	2	5	d	rep.cow																																																				
R_25yJwdqRcy1lLDL	1	1	2	4	4	6	7	5	4	4	4	4	4	5	d	rep.cow																																																				
R_12J8mTiQQhjADnp	1	2	2	4	2	4	4	3	3	4	4	3	3	4	d	rep.cow																																																				
R_2eaQZYlGhshonY9	1	4	2	4	2	3	5	4	2	2	3	2	2	5	d	rep.cow																																																				
R_3EAn1cnHql4bkUM	2	1	2	4	2	5	5	4	3	4	4	3	4	5	d	rep.cow																																																				
R_DdBOruQbogui7ap	2	1	1	4	1	4	4	2	3	4	4	2	3	2	d	rep.cow																																																				
R_3qqYZEr2bErmgHU	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	d	rep.cow																																																				
R_2wB9mquI7hXwnji	2	1	1	1	3	1	3	3	1	1	1	1	1	3	d	rep.cow																																																				
R_1od4UIhFj0lpD98	2	1	1	1	1	1	3	1	1	1	1	1	1	5	d	rep.cow																																																				
R_24AvPnmtMsxd2Rs	2	4	5	5	6	5	6	5	5	4	5	6	5	4	d	rep.cow																																																				
R_3FUxMVDjBaaFl0Q	2	3	2	1	5	5	6	6	4	3	4	4	4	4	d	rep.cow																																																				
R_10qhdFD6DXfCoAo	2	1	1	1	2	1	3	2	5	2	2	2	2	4	d	rep.cow																																																				
R_1jUF3d0Crle6TIS	2	5	5	6	6	6	6	6	5	5	5	5	5	4	d	rep.cow																																																				
R_1r6yo1qxQZVuiOO	2	5	5	5	5	5	6	6	6	5	5	6	5	5	d	rep.cow																																																				
R_W3AKNfpPvb8BGzn	2	5	1	5	1	1	7	5	7	5	5	3	3	4	d	rep.cow																																																				
R_2ZHLhFYQqEx9hoS	2	2	1	3	3	4	3	3	3	5	5	4	5	5	d	rep.cow																																																				
R_3GlEx8W9ySCDRdU	2	4	2	4	4	5	4	4	4	4	4	4	3	4	d	rep.cow																																																				
R_2EgSAOztzsBHzrD	2	2	1	3	5	2	3	2	4	2	3	3	2	5	d	rep.cow																																																				
R_2BboHMYMIvBrldB	2	5	2	5	5	5	5	5	4	5	6	5	5	4	d	rep.cow																																																				
R_3R93J87oMj56oGk	2	5	4	6	5	5	6	6	3	4	1	5	3	4	d	rep.cow																																																				
R_3iVFMG5FpActOmI	2	5	2	3	2	3	7	7	2	2	5	5	5	5	d	rep.cow																																																				
R_3NP3YJgpOD2Aieo	3	1	1	3	2	3	4	2	1	2	2	1	2	5	d	rep.cow																																																				
R_3EsDQMtCoovYb0c	3	3	3	6	4	5	5	6	4	3	5	3	5	4	d	rep.cow																																																				
R_8BaZEtzALcB7tDP	3	5	3	5	3	4	7	6	3	3	4	4	4	5	d	rep.cow																																																				
R_SJcsQO0rhhHesxz	3	4	1	5	4	3	6	6	5	3	6	4	4	5	d	rep.cow																																																				
R_33DrtwdUrnQRDk9	3	2	2	3	3	3	3	2	2	2	2	2	3	5	d	rep.cow																																																				
R_322x7bkZvTtB4RM	3	3	4	2	5	1	4	4	5	1	1	4	2	5	d	rep.cow																																																				
R_2B9AqctUCavJZnr	3	2	2	5	3	6	5	4	4	4	4	4	4	4	d	rep.cow																																																				
R_2AThK0ypdznN22o	3	4	4	5	4	4	5	5	5	4	4	4	4	5	d	rep.cow																																																				
R_5C6RdnjBcMIpB5L	3	2	1	2	5	3	4	4	3	3	3	2	4	4	d	rep.cow																																																				
R_3JgDxLQGZ06U9tk	3	4	4	6	6	6	7	7	4	6	6	6	6	4	d	rep.cow																																																				
R_10GwBf8xQR0cr8h	3	5	2	4	3	1	6	4	5	2	6	4	4	4	d	rep.cow																																																				
R_1g89TflcmEq5dyW	3	5	6	5	4	6	5	6	5	5	4	6	6	4	d	rep.cow																																																				
R_6xRxRoMMEyuM5y1	3	2	2	4	4	5	4	4	1	4	4	5	5	5	d	rep.cow																																																				
R_1CfLlEXlcLwcKCA	3	1	3	3	3	1	3	3	3	3	2	3	3	3	d	rep.cow																																																				
R_urE3aBaJrepGdmF	3	2	3	5	3	5	6	6	4	2	5	3	5	4	d	rep.cow																																																				
R_3D5Dfp9dK7wkK8n	3	2	2	3	1	3	7	4	3	1	2	2	1	4	d	rep.cow																																																				
R_3Dc0ailmijra0bu	3	3	2	5	4	4	4	4	2	3	2	2	2	5	d	rep.cow																																																				
R_30pjztGP5OEKaFS	3	2	3	4.5	3.5	4.5	4.5	4.5	4.5	5	4.5	4.5	4.5	4	d	rep.cow																																																				
R_2TtPSAdmUztT7wL	3	2	4	5	4	5	5	4	2	1	5	3	3	4	d	rep.cow																																																				
R_UJuQ2MPz1AApbY5	3	3	2	3	1	3	4	4	4	3	3	4	4	5	d	rep.cow																																																				
R_0Pw4SJH7Rmy4GAh	4	7	7	6	6	7	6	6	6	6	6	7	6	5	d	rep.cow																																																				
R_af1DrCKPNZbG4Zr	4	2	1	5	5	6	6	6	5	2	5	3	2	4	d	rep.cow																																																				
R_TuBpgV2dDwtQ1Jn	4	2	1	3	1	4	6	6	7	3	6	3	3	4	d	rep.cow																																																				
R_1Lhbp5lsxdTp4Xh	4	6	5	5	4	6	6	6	6	6	7	7	5	4	d	rep.cow																																																				
R_32WTW3i3e1AcfJj	4	1	2	2	1	1	2	2	2	2	4	2	3	5	d	rep.cow																																																				
R_2X4gv5JfatTuCHj	4	1	1	3	2	3	3	2	2	2	4	2	1	4	d	rep.cow																																																				
R_d7ilf18tbKr7ddv	4	5	4	7	7	6	7	7	6	6	7	7	6	5	d	rep.cow																																																				
R_3sh8WYaTYtmA54s	4	1	2	3	2	3	4	2	1	3	3	2	3	5	d	rep.cow																																																				
R_3QVJhduPxthkl0G	4	2	1	5	3	4	4	4	3	4	5	4	4	5	d	rep.cow																																																				
R_2Ym7AwqfCagMAZJ	4	2	2	3	2	2	3	3	3	2	2	2	2	4	d	rep.cow																																																				
R_1LG5JfAQifGKUuO	4	1	4	5	5	2	3	3	3	4	5	4	3	4	d	rep.cow																																																				
R_2vY58O2e0m6LTo0	4	3	1	4	3	2	3	4	2	3	3	2	3	5	d	rep.cow																																																				
R_A0BOXJFQzTAtxYJ	4	1	1	3	2	6	5	5	3	4	2	7	3	4	d	rep.cow																																																				
R_wLsJ0Vj2Wn1hQXL	4	6	3	2	5	1	5	6	3	1	2	5	3	5	d	rep.cow																																																				
R_8uZLC7s7NvLhXdn	4	2	2	4	3	4	7	5	3	3	4	3	3	5	d	rep.cow																																																				
R_SJLpwmKwX4X8slX	4	2	2	3	2	4	5	4	6	4	4	5	5	3	d	rep.cow																																																				
R_1P76UUmKJr8hoPp	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d	rep.cow																																																				
R_p6tUpQ9XjKQ7z5D	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_2c24W8xGxA18Ubl	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_1DqDnRoTRM1AJgk	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3EtAzFGFTkbOMld	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	b	veal																																																				
R_6f1zX9VCxcmJ26Z	1	2	2	1	2	1	1	2	2	2	2	2	3	3	b	veal																																																				
R_xyjgLiggbmUUylj	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3mlQnj8I8d8QvCS	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3FP9Uon1haBJ9Pn	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	b	veal																																																				
R_2cw5wplYk1Fay5D	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_BA3MJVkrEivQzKN	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_9Fwj5KgDsU241Vv	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_1Fb7QsWMRzEL1Dz	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3fwtjTkCSATUi7W	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_25yJwdqRcy1lLDL	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_12J8mTiQQhjADnp	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_2eaQZYlGhshonY9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3EAn1cnHql4bkUM	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_DdBOruQbogui7ap	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3qqYZEr2bErmgHU	2	1	1	1	2	1	1	2	7	1	1	7	1	5	b	veal																																																				
R_2wB9mquI7hXwnji	2	4	1	1	3	1	1	2	2	1	1	1	1	5	b	veal																																																				
R_1od4UIhFj0lpD98	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_24AvPnmtMsxd2Rs	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3FUxMVDjBaaFl0Q	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_10qhdFD6DXfCoAo	2	1	1	2	2	2	2	2	3	2	2	2	2	2	b	veal																																																				
R_1jUF3d0Crle6TIS	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_1r6yo1qxQZVuiOO	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_W3AKNfpPvb8BGzn	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	b	veal																																																				
R_2ZHLhFYQqEx9hoS	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3GlEx8W9ySCDRdU	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_2EgSAOztzsBHzrD	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_2BboHMYMIvBrldB	2	3	3	4	3	5	4	3	5	6	4	3	3	4	b	veal																																																				
R_3R93J87oMj56oGk	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3iVFMG5FpActOmI	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3NP3YJgpOD2Aieo	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3EsDQMtCoovYb0c	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	b	veal																																																				
R_8BaZEtzALcB7tDP	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_SJcsQO0rhhHesxz	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	b	veal																																																				
R_33DrtwdUrnQRDk9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	b	veal																																																				
R_322x7bkZvTtB4RM	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_2B9AqctUCavJZnr	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_2AThK0ypdznN22o	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_5C6RdnjBcMIpB5L	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3JgDxLQGZ06U9tk	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_10GwBf8xQR0cr8h	3	3	6	7	5	4	4	5	2	5	7	5	7	4	b	veal																																																				
R_1g89TflcmEq5dyW	3	6	6	4	6	5	5	5	3	6	6	6	6	4	b	veal																																																				
R_6xRxRoMMEyuM5y1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_1CfLlEXlcLwcKCA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_urE3aBaJrepGdmF	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3D5Dfp9dK7wkK8n	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
R_3Dc0ailmijra0bu	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	veal																																																				
